hansen_treeD;hansen_treeD_1km;Habitat
26;83.34512329;Sun_coffee
4;83.34512329;Sun_coffee
76;83.34512329;Sun_coffee
90;80.40711975;Shade_coffee
90;80.40711975;Shade_coffee
89;80.40711975;Shade_coffee
95;80.40711975;Shade_coffee
74;89.89379883;Mature_forest
90;89.89379883;Mature_forest
90;89.89379883;Mature_forest
95;89.89379883;Mature_forest
95;89.89379883;Mature_forest
95;93.29165649;Mature_forest
95;93.29165649;Mature_forest
95;93.29165649;Mature_forest
90;93.29165649;Mature_forest
90;93.29165649;Mature_forest
90;57.89860535;Forest_fragment/Riparian_strip
90;57.89860535;Forest_fragment/Riparian_strip
89;57.89860535;Mature_forest
95;76.32958984;Mature_forest
98;76.32958984;Mature_forest
90;76.32958984;Mature_forest
90;76.32958984;Mature_forest
95;57.89860535;Mature_forest
74;57.89860535;Forest_fragment/Riparian_strip
76;57.89860535;Forest_fragment/Riparian_strip
89;57.89860535;Mature_forest
90;57.89860535;Mature_forest
95;76.32958984;Mature_forest
97;76.32958984;Mature_forest
99;76.32958984;Mature_forest
95;76.32958984;Mature_forest
95;76.32958984;Mature_forest
95;76.32958984;Mature_forest
74;78.68186951;Secondary_Growth
90;78.68186951;Secondary_Growth
90;78.68186951;Secondary_Growth
90;80.08700562;Secondary_Growth
90;80.08700562;Secondary_Growth
90;80.08700562;Secondary_Growth
86;78.68186951;Secondary_Growth
90;78.68186951;Secondary_Growth
90;80.08700562;Secondary_Growth
85;80.08700562;Secondary_Growth
90;80.08700562;Secondary_Growth
90;80.08700562;Secondary_Growth
0;80.08700562;Secondary_Growth
94;97.42303467;Mature_forest
96;93.52791595;Mature_forest
99;97.42303467;Mature_forest
99;97.42303467;Mature_forest
91;93.52791595;Mature_forest
96;93.52791595;Secondary_Growth
9;94.79515076;Secondary_Growth
98;95.48539734;Mature_forest
99;95.48539734;Mature_forest
99;91.46383667;Mature_forest
86;91.46383667;Mature_forest
99;91.46383667;Mature_forest
95;94.86040497;Secondary_Growth
95;89.95012665;Forest_fragment/Riparian_strip
41;91.76690674;Secondary_Growth
95;89.84632111;Mature_forest
100;90.03025818;Secondary_Growth
98;91.56327057;Secondary_Growth
94;88.52310181;Secondary_Growth
99;88.52310181;Mature_forest
99;88.52310181;Mature_forest
99;90.51522827;Secondary_Growth
99;90.51522827;Mature_forest
99;90.51522827;Mature_forest
100;93.28218079;Mature_forest
81;81.02529907;Mature_forest
54;81.02529907;Mature_forest
74;81.02529907;Mature_forest
89;81.02529907;Mature_forest
72;81.02529907;Mature_forest
90;81.02529907;Mature_forest
77;81.02529907;Mature_forest
90;81.02529907;Mature_forest
95;81.02529907;Mature_forest
90;78.11575317;Secondary_Growth
73;87.24108124;Mature_forest
89;87.24108124;Mature_forest
99;78.11575317;Mature_forest
94;87.24108124;Secondary_Growth
90;87.24108124;Secondary_Growth
89;31.27968216;Secondary_Growth
95;31.27968216;Forest_fragment/Riparian_strip
95;31.27968216;Forest_fragment/Riparian_strip
61;31.27968216;Secondary_Growth
95;81.76383209;Mature_forest
97;81.76383209;Mature_forest
97;81.76383209;Mature_forest
99;81.76383209;Mature_forest
95;81.76383209;Mature_forest
97;81.76383209;Mature_forest
95;81.76383209;Mature_forest
95;81.76383209;Mature_forest
95;81.76383209;Mature_forest
95;81.76383209;Mature_forest
91;84.63080597;Mature_forest
76;84.63080597;Secondary_Growth
95;81.76383209;Mature_forest
95;81.76383209;Mature_forest
90;81.18733978;Secondary_Growth
89;81.18733978;Secondary_Growth
90;81.18733978;Secondary_Growth
90;81.18733978;Mature_forest
91;87.29983521;Secondary_Growth
90;87.29983521;Mature_forest
97;87.29983521;Mature_forest
91;87.29983521;Mature_forest
95;90.38069916;Secondary_Growth
90;87.29983521;Mature_forest
97;87.29983521;Secondary_Growth
90;90.38069916;Mature_forest
75;91.23146057;Secondary_Growth
97;91.23146057;Secondary_Growth
95;85.6584549;Mature_forest
90;91.01913452;Mature_forest
90;91.01913452;Mature_forest
95;91.48760223;Mature_forest
95;91.48760223;Mature_forest
89;91.36894989;Secondary_Growth
93;91.36894989;Mature_forest
89;91.36894989;Mature_forest
90;88.92657471;Mature_forest
95;90.58855438;Mature_forest
90;90.58855438;Mature_forest
90;90.58855438;Secondary_Growth
90;90.58855438;Mature_forest
95;90.0652771;Secondary_Growth
89;89.15386963;Mature_forest
95;89.15386963;Secondary_Growth
93;88.94052124;Secondary_Growth
95;85.6584549;Mature_forest
95;91.01913452;Mature_forest
90;91.48760223;Mature_forest
95;90.88694;Mature_forest
