,Cd3e,Cd19,Cd14
tissue,2.456,2.416,8.029
tissue,3.39,2.742,6.358
tissue,2.417,4.435,8.647
tissue,2.524,2.416,9.653
tissue,2.874,3.2,6.662
tissue,2.534,3.949,3.896
tissue,4.561,5.401,10.24
tissue,4.798,6.619,10.293
tissue,6.191,10.552,6.377
tissue,2.456,2.89,4.319
tissue,4.707,8.252,9.491
tissue,2.456,2.742,6.913
tissue,7.016,10.917,9.128
tissue,5.134,2.971,9.411
tissue,11.091,3.222,2.554
tissue,10.311,3.994,2.554
tissue,10.198,3.364,3.069
tissue,10.656,4.199,2.554
tissue,9.718,4.176,2.566
tissue,2.417,2.416,10.747
tissue,2.417,2.416,2.554
tissue,2.417,2.269,2.549
tissue,2.23,2.416,2.549
tissue,2.357,2.33,2.344
