Complex,SPRmlF,SPRF,SPRml,SPRuv
C1,,,0.52,0.1205963
C1,,,0.521,0.109543
C1,,,0.522,0.1128697
C1,,,0.522,0.1121431
C1,,,0.523,0.1009808
C1,,,0.524,0.09879197
C1,,,0.525,0.09444783
C1,,,0.526,0.08471631
C1,,,0.527,0.1014623
C1,,,0.527,0.1124626
C1,,,0.528,0.0715533
C1,,,0.529,0.07257596
C1,,,0.53,0.1106978
C1,,,0.531,0.09651971
C1,,,0.532,0.06386486
C1,,,0.532,0.08820135
C1,,,0.533,0.1122978
C1,,,0.534,0.09375699
C1,,,0.535,0.08039466
C1,,,0.536,0.07073534
C1,,,0.537,0.07668815
C1,,,0.537,0.1151961
C1,,,0.538,0.1050452
C1,,,0.539,0.08442286
C1,,,0.54,0.09340411
C1,,,0.541,0.0974483
C1,,,0.542,0.1002854
C1,,,0.542,0.09226664
C1,,,0.543,0.08489595
C1,,,0.544,0.08661799
C1,,,0.545,0.08066525
C1,,,0.546,0.07642532
C1,,,0.546,0.06601807
C1,,,0.547,0.07931993
C1,,,0.548,0.09385248
C1,,,0.549,0.09787833
C1,,,0.55,0.09152686
C1,,,0.551,0.07469689
C1,,,0.551,0.08978188
C1,,,0.552,0.1143817
C1,,,0.553,0.1144066
C1,,,0.554,0.1210945
C1,,,0.555,0.113676
C1,,,0.556,0.07487133
C1,,,0.556,0.0768002
C1,,,0.557,0.08216811
C1,,,0.558,0.07991797
C1,,,0.559,0.09315254
C1,,,0.56,0.09090561
C1,,,0.561,0.09472504
C1,,,0.561,0.08465359
C1,,,0.562,0.05121627
C1,,,0.563,0.03572148
C1,,,0.564,0.04296601
C1,,,0.565,0.05066897
C1,,,0.566,0.05528681
C1,,,0.566,0.06132035
C1,,,0.567,0.06993444
C1,,,0.568,0.09315851
C1,,,0.569,0.09131549
C1,,,0.57,0.06458078
C1,,,0.571,0.07155082
C1,,,0.571,0.08786047
C1,,,0.572,0.07445423
C1,,,0.573,0.06086255
C1,,,0.574,0.07265121
C1,,,0.575,0.08110534
C1,,,0.576,0.06108749
C1,,,0.576,0.04406327
C1,,,0.577,0.05179587
C1,,,0.578,0.04298558
C1,,,0.579,0.05588147
C1,,,0.58,0.07565977
C1,,,0.581,0.0556431
C1,,,0.581,0.04256055
C1,,,0.582,0.0531489
C1,,,0.583,0.07119625
C1,,,0.584,0.08372844
C1,,,0.585,0.07878046
C1,,,0.586,0.05570225
C1,,,0.586,0.06564235
C1,,,0.587,0.06147938
C1,,,0.588,0.05930981
C1,,,0.589,0.09510897
C1,,,0.59,0.1039164
C1,,,0.591,0.0926327
C1,,,0.591,0.1125575
C1,,,0.592,0.1234519
C1,,,0.593,0.09607259
C1,,,0.594,0.0770125
C1,,,0.595,0.07562547
C1,,,0.596,0.06639052
C1,,,0.596,0.07185001
C1,,,0.597,0.09355757
C1,,,0.598,0.1096747
C1,,,0.599,0.09617926
C1,,,0.6,0.05764218
C1,,,0.601,0.03782142
C1,,,0.601,0.04499775
C1,,,0.602,0.04635909
C1,,,0.603,0.05345615
C1,,,0.604,0.07065691
C1,,,0.605,0.06895839
C1,,,0.606,0.05800352
C1,,,0.606,0.04464349
C1,,,0.607,0.03989436
C1,,,0.608,0.05669876
C1,,,0.609,0.07756236
C1,,,0.61,0.06224534
C1,,,0.611,0.04873484
C1,,,0.611,0.05469292
C1,,,0.612,0.0571944
C1,,,0.613,0.08988778
C1,,,0.614,0.1108633
C1,,,0.615,0.08684376
C1,,,0.616,0.04163509
C1,,,0.616,0.03548612
C1,,,0.617,0.06054171
C1,,,0.618,0.06844175
C1,,,0.619,0.07576206
C1,,,0.62,0.07500947
C1,,,0.621,0.0696633
C1,,,0.621,0.05373513
C1,,,0.622,0.05336175
C1,,,0.623,0.06548841
C1,,,0.624,0.0660842
C1,,,0.625,0.07514881
C1,,,0.626,0.07803731
C1,,,0.626,0.06305829
C1,,,0.627,0.06394853
C1,,,0.628,0.07209174
C1,,,0.629,0.07752989
C1,,,0.63,0.08225944
C1,,,0.631,0.07176844
C1,,,0.631,0.08420143
C1,,,0.632,0.09575076
C1,,,0.633,0.08322088
C1,,,0.634,0.06811314
C1,,,0.635,0.07703001
C1,,,0.636,0.07855551
C1,,,0.636,0.07093104
C1,,,0.637,0.07282037
C1,,,0.638,0.04176728
C1,,,0.639,0.03828485
C1,,,0.64,0.04793916
C1,,,0.641,0.04458144
C1,,,0.641,0.0602973
C1,,,0.642,0.0653739
C1,,,0.643,0.05789481
C1,,,0.644,0.05853788
C1,,,0.645,0.07532377
C1,,,0.646,0.08318116
C1,,,0.646,0.06479274
C1,,,0.647,0.03706345
C1,,,0.648,0.02427285
C1,,,0.649,0.03080025
C1,,,0.65,0.04426141
C1,,,0.651,0.0644774
C1,,,0.651,0.08973931
C1,,,0.652,0.08271407
C1,,,0.653,0.06325419
C1,,,0.654,0.06375399
C1,,,0.655,0.05971319
C1,,,0.656,0.05480856
C1,,,0.656,0.06431401
C1,,,0.657,0.07081032
C1,,,0.658,0.0598025
C1,,,0.659,0.05365462
C1,,,0.66,0.06286979
C1,,,0.661,0.07464337
C1,,,0.661,0.07238846
C1,,,0.662,0.05694174
C1,,,0.663,0.04815271
C1,,,0.664,0.04490088
C1,,,0.665,0.04541777
C1,,,0.666,0.06173209
C1,,,0.666,0.06981904
C1,,,0.667,0.07273649
C1,,,0.668,0.07762348
C1,,,0.669,0.06242392
C1,,,0.67,0.03622907
C1,,,0.671,0.02987633
C1,,,0.671,0.04864267
C1,,,0.672,0.06899539
C1,,,0.673,0.07282099
C1,,,0.674,0.06067409
C1,,,0.675,0.04163619
C1,,,0.676,0.02953313
C1,,,0.676,0.04804552
C1,,,0.677,0.07456537
C1,,,0.678,0.0851478
C1,,,0.679,0.09076148
C1,,,0.68,0.08892801
C1,,,0.681,0.07012351
C1,,,0.681,0.05667743
C1,,,0.682,0.07427485
C1,,,0.683,0.08565804
C1,,,0.684,0.07243445
C1,,,0.685,0.07361172
C1,,,0.686,0.08009373
C1,,,0.686,0.07767085
C1,,,0.687,0.06302193
C1,,,0.688,0.04881303
C1,,,0.689,0.04392612
C1,,,0.69,0.03280266
C1,,,0.69,0.02320565
C1,,,0.691,0.02735739
C1,,,0.692,0.03531696
C1,,,0.693,0.03920463
C1,,,0.694,0.03725344
C1,,,0.695,0.03316732
C1,,,0.695,0.04609127
